design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,bottom_count,side_count,score
fine_P265_G155,265.0,55.0,155.0,0.0,0.0,1,666.0908739025639,0.0003518922456777025,450.0774139773814,946441.5344244832,12,6,4,2,9.018210858710711
fine_P265_G155,265.0,55.0,155.0,0.0,0.0,2,654.4078869534293,0.00017193876801438837,458.1125380313985,1903025.985677257,12,6,4,2,13.994759157054027
fine_P265_G155,265.0,55.0,155.0,0.0,0.0,3,676.827039733059,0.00035301971124386376,442.93806305114276,958624.9976640982,12,6,4,2,16.135341949979505
fine_P265_G155,265.0,55.0,155.0,0.0,0.0,4,681.6412347500502,0.5668265985453075,439.80974553267794,601.278447852836,12,6,4,2,32.07395191800582
fine_P270_G140,270.0,65.0,140.0,0.0,0.0,1,669.0098654582798,0.5785172010591025,448.1136579273589,578.2108675710166,11,5,4,2,23.83799707244287
fine_P270_G140,270.0,65.0,140.0,0.0,0.0,2,669.0152618936265,0.5782638251223848,448.11004333660037,578.4688863703647,11,5,4,2,23.840836643894527
fine_P270_G140,270.0,65.0,140.0,0.0,0.0,3,669.0211962829871,0.5782224879887712,448.10606848574605,578.5153726985271,11,5,4,2,23.84467189903243
fine_P270_G140,270.0,65.0,140.0,0.0,0.0,4,669.0260724864646,0.5779000359561615,448.10280246001213,578.842386970552,11,5,4,2,23.84695623697665
fine_P270_G150,270.0,60.0,150.0,0.0,0.0,1,663.746561159678,0.00038309230456894344,451.6670602047439,866301.088854457,12,6,4,2,8.916384763686334
fine_P270_G150,270.0,60.0,150.0,0.0,0.0,2,669.0098665239605,0.578508099505844,448.11365721354866,578.2199653690434,12,6,4,2,23.837970453024887
fine_P270_G150,270.0,60.0,150.0,0.0,0.0,3,669.0152606635378,0.5782705181822598,448.11004416052043,578.4621899509297,12,6,4,2,23.840855929853568
fine_P270_G150,270.0,60.0,150.0,0.0,0.0,4,669.0211969818066,0.5782200872556613,448.1060680176813,578.5177752619284,12,6,4,2,23.844665152645074
fine_P270_G160,270.0,55.0,160.0,0.0,0.0,1,667.6055673432604,0.000610007530618189,449.05625816307304,547210.9226804961,12,6,4,2,10.99112280654858
fine_P270_G160,270.0,55.0,160.0,0.0,0.0,2,669.0098673326926,0.5785066885079101,448.1136566718468,578.2213763666321,12,6,4,2,23.83796675559455
fine_P270_G160,270.0,55.0,160.0,0.0,0.0,3,669.0152593300741,0.5782701487050068,448.1100450536817,578.4625583979082,12,6,4,2,23.840853930210734
fine_P270_G160,270.0,55.0,160.0,0.0,0.0,4,669.0211936045363,0.57823318896489,448.10607027975516,578.5046641841575,12,6,4,2,23.844702261069386
bicref_P294_rho0p20,294.0,58.800000000000004,176.39999999999998,0.0,0.0,1,666.464922898509,0.04860107984468073,449.82481102858156,6856.482664874904,12,6,4,2,17.83078344210938
bicref_P294_rho0p20,294.0,58.800000000000004,176.39999999999998,0.0,0.0,2,653.645450584206,5.3800274343894205,458.6468975375805,60.74740868476521,12,6,4,2,32.5127865100899
bicref_P294_rho0p20,294.0,58.800000000000004,176.39999999999998,0.0,0.0,3,653.6429570800085,5.380159901565943,458.6486471746749,60.74568126588208,12,6,4,2,32.5145855464375
bicref_P294_rho0p20,294.0,58.800000000000004,176.39999999999998,0.0,0.0,4,653.6356241714617,5.382870193385025,458.6537925927954,60.71441449347138,12,6,4,2,32.52062534798095
bicref_P294_rho0p22,294.0,64.68,164.64,0.0,0.0,1,672.9368901598516,0.08479713569923172,445.498623100877,3967.922292485809,12,6,4,2,23.107124265633004
